Filename;ActivityName;Location;ReferenceProduct
81bf0896-2f16-5801-bccb-f6adc5b3b0b3_1b4847ed-e3bf-43f7-b166-1158d304da79.spold;market for used silencer steel, DN 315;RoW;used silencer steel, DN 315
d2b8dab8-69a7-576c-a8f2-36960ac68d1e_cad7658a-90cc-5ee7-a874-55ed33db5898.spold;dimethyl hexanediol production;GLO;dimethyl hexanediol
099f8836-c0f6-5acb-991e-09b953d0b235_142f9def-fcb1-486b-b82a-3f384db79acf.spold;barite production;CA-QC;barite
3388757f-281c-594c-bf5c-f90a81f3fa9a_95252e42-3fc2-4677-a4ee-9bc01a3b489c.spold;market for onion seedling, for planting;GLO;onion seedling, for planting
5f8cf9ec-7b36-5847-a023-ea9c2c6b2d1b_cca439a0-2e00-45f0-a360-2aad6ce606a9.spold;market for refractory spent pot liner from Al electrolysis;RER;refractory spent pot liner from Al electrolysis
eb76972f-d0ff-5a4f-a3b1-1c3e50ff6b79_2b17042b-64a9-425a-acfa-782a52baf82f.spold;market for rye seed, organic, for sowing;GLO;rye seed, organic, for sowing
51b7ce29-f812-5743-a7de-17b131059571_f34f8cab-8343-4e5b-89df-be2deada9b1f.spold;market for wheat grain, feed;GLO;wheat grain, feed
51e8062e-b185-5108-b5c1-453668e4d7ba_ea5d4b58-5617-4762-b16e-5074f86649e7.spold;treatment of spent catalytic converter for cars, underground deposit;DE;spent catalytic converter for cars
be557809-ded6-54eb-87fc-d23058a7c34b_75db30ea-bc22-4827-9784-07ac2523b3d6.spold;cabbage white production;RoW;cabbage white
9d50eaab-d562-51e5-87b2-feb65324dd63_edcfa83a-363a-4b2d-8d6a-612e32dfcdfc.spold;market for sodium chloride, powder;GLO;sodium chloride, powder
fb2b6284-f1ad-536f-a497-57db94ad5ecf_c5adb1fb-872e-4446-a3bb-c4b61aa4bd45.spold;tap water production, conventional treatment;CH;tap water
6114ac7a-3883-57b7-ad7b-f986c344bece_5f76b417-1046-4e6b-9c68-04206209253a.spold;treatment of wastewater from glass production, wastewater treatment;CH;wastewater from glass production
883b494d-88eb-521e-8655-744aa0d1a53c_a4a72d78-6642-4e02-bec4-8dcd7fc35d4a.spold;epichlorohydrin production from allyl chloride;RoW;calcium chloride
874895c6-3464-53f3-9dae-febe3ed32482_5321a299-0c03-4bfc-9dda-d020456f6b2e.spold;nutrient supply from ammonium nitrate phosphate;RoW;inorganic phosphorus fertiliser, as P2O5
8a4d3237-2b7f-52c5-af32-a08b2c4ed324_63ead738-2005-498c-8359-7f65c134a1a4.spold;market for heat, from steam, in chemical industry;RoW;heat, from steam, in chemical industry
9fff3833-e7c6-5964-bc6f-fbd340aca4aa_84aefb4d-62e4-4a80-9f1d-6c2058eb4c52.spold;agricultural machinery production, tillage;CH;agricultural machinery, tillage
